title,location,stack,url
Intern Python developer,,['Git'],https://jobs.dou.ua/companies/hys-enterprise/vacancies/266783/
Data Team Scraping Expert FPS,Вінниця,"['SQL', 'Pandas', 'MongoDB', 'Docker', 'Git', 'OOP', 'Requests']",https://jobs.dou.ua/companies/temerix/vacancies/266562/
"Full-Stack Developer (Python/C#/Node.js, JavaScript)",Київ,"['Docker', 'GitHub', 'Git', 'CI/CD', 'SOLID', 'REST']",https://jobs.dou.ua/companies/improvs/vacancies/266548/
Python Backend Developer,Дніпро,"['SQL', 'Docker', 'Git']",https://jobs.dou.ua/companies/canyon-development/vacancies/264683/
Math + Python Developer,віддалено,['Curio'],https://jobs.dou.ua/companies/numerical-technologies-ltd/vacancies/253273/
